feature_name1	feature_name2	evidence
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
ucsd61	p-ucsd61	name-based
ucsd72	p-ucsd72	name-based
umc67	p-umc67	name-based
umc67	p-umc67	name-based
umc76	p-umc76	name-based
umc76	p-umc76	name-based
pENO2	pENO2	name-based
5C03H09	p-5C03H09	name-based
5C02D01	p-5C02D01	name-based
bcd98	p-bcd98	name-based
bcd98	p-bcd98	name-based
5C04D12	p-5C04D12	name-based
5C03G12	p-5C03G12	name-based
5C04D01	p-5C04D01	name-based
5C04D01	p-5C04D01	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
CL1803_1_ov	CL1803_1_ov	name-based
5C01A05	p-5C01A05	name-based
2C01D12	p-2C01D12	name-based
2C01D12	p-2C01D12	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
EMBL4-I120	p-EMBL4-I120	name-based
5C04D09	p-5C04D09	name-based
5C04D09	p-5C04D09	name-based
phi064	p-phi064	name-based
csu60	p-csu60	name-based
umc1009	p-umc1009	name-based
CL1812_1_ov	CL1812_1_ov	name-based
CL1812_1_ov	CL1812_1_ov	name-based
CL1812_1_ov	CL1812_1_ov	name-based
CL1812_1_ov	CL1812_1_ov	name-based
CL1812_1_ov	CL1812_1_ov	name-based
CL1812_1_ov	CL1812_1_ov	name-based
Esr1c1	p-Esr1c1	name-based
Esr1g1	p-Esr1g1	name-based
Esr1g2	p-Esr1g2	name-based
phi062	p-phi062	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
CL1988_1_ov	CL1988_1_ov	name-based
2C01C07	p-2C01C07	name-based
2C01F02	p-2C01F02	name-based
2C01C11	p-2C01C11	name-based
2C01H08	p-2C01H08	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
ucsd72	p-ucsd72	name-based
EMBL4-I16b	p-EMBL4-I16b	name-based
umc44	p-umc44	name-based
umc44	p-umc44	name-based
umc64	p-umc64	name-based
umc64	p-umc64	name-based
csu6	p-csu6	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
CL539_1_ov	CL539_1_ov	name-based
bnl7.49	p-bnl7.49	name-based
bnl7.49	p-bnl7.49	name-based
npi285	p-npi285	name-based
npi285	p-npi285	name-based
2C02B06	p-2C02B06	name-based
umc130	p-umc130	name-based
umc130	p-umc130	name-based
php20075	p-php20075	name-based
php20075	p-php20075	name-based
csu103	p-csu103	name-based
CL2183_1_ov	CL2183_1_ov	name-based
CL2183_1_ov	CL2183_1_ov	name-based
5C01G10	p-5C01G10	name-based
phi084	p-phi084	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
csu6	p-csu6	name-based
csu217	p-csu217	name-based
MCS1a	p-MCS1a	name-based
MCS1b	p-MCS1b	name-based
phi063	p-phi063	name-based
phi059	p-phi059	name-based
inv1	p-inv1	name-based
5C04A02	p-5C04A02	name-based
csu825	p-csu825	name-based
std687001E01	p-std687001E01	name-based
std687001E01	p-std687001E01	name-based
umc1576	p-umc1576	name-based
umc1776	p-umc1776	name-based
pal	p-pal	name-based
php20581	p-php20581	name-based
php20581	p-php20581	name-based
pOR1	p-pOR1	name-based
ucsd106	p-ucsd106	name-based
ucsd106 l	p-ucsd106 l	name-based
ucsd61	p-ucsd61	name-based
umc31	p-umc31	name-based
umc31	p-umc31	name-based
umc34	p-umc34	name-based
umc34	p-umc34	name-based
umc44	p-umc44	name-based
umc44	p-umc44	name-based
umc49	p-umc49	name-based
umc49	p-umc49	name-based
umc53	p-umc53	name-based
umc53	p-umc53	name-based
umc5	p-umc5	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I20a	p-EMBL4-I20a	name-based
5C04D12	p-5C04D12	name-based
5C02D08	p-5C02D08	name-based
6C04B04	p-6C04B04	name-based
pBF266	p-pBF266	name-based
pBF266	p-pBF266	name-based
pBF266	p-pBF266	name-based
bnl8.45	p-bnl8.45	name-based
bnl8.45	p-bnl8.45	name-based
ZmCHI1	p-ZmCHI1	name-based
umc131	p-umc131	name-based
umc131	p-umc131	name-based
umc5	p-umc5	name-based
umc6	p-umc6	name-based
umc6	p-umc6	name-based
phi083	p-phi083	name-based
6C02G11	p-6C02G11	name-based
5C05F05	p-5C05F05	name-based
5C05H04	p-5C05H04	name-based
inv1	p-inv1	name-based
6C02D10	p-6C02D10	name-based
siAF298118_ov	siAF298118_ov	name-based
umc2101	p-umc2101	name-based
umc2102	p-umc2102	name-based
umc2103	p-umc2103	name-based
umc2104	p-umc2104	name-based
umc2105	p-umc2105	name-based
2C01F04	p-2C01F04	name-based
2C01F02	p-2C01F02	name-based
2C01F03	p-2C01F03	name-based
2C01F03	p-2C01F03	name-based
2C02A03	p-2C02A03	name-based
2C01C09	p-2C01C09	name-based
csu133	p-csu133	name-based
5C04F07	p-5C04F07	name-based
5C04F07	p-5C04F07	name-based
pA23	p-pA23	name-based
CL2322_1_ov	CL2322_1_ov	name-based
CL2322_1_ov	CL2322_1_ov	name-based
CL2322_1_ov	CL2322_1_ov	name-based
CL2322_1_ov	CL2322_1_ov	name-based
CL2322_1_ov	CL2322_1_ov	name-based
umc2106	p-umc2106	name-based
umc2107	p-umc2107	name-based
umc2108	p-umc2108	name-based
umc2109	p-umc2109	name-based
5C04H06	p-5C04H06	name-based
5C04H06	p-5C04H06	name-based
pES6-66	p-pES6-66	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
CL1470_1_ov	CL1470_1_ov	name-based
nc030	p-nc030	name-based
phi029	p-phi029	name-based
csu301	p-csu301	name-based
csu16	p-csu16	name-based
csu16	p-csu16	name-based
bnl5.37	p-bnl5.37	name-based
bnl5.37	p-bnl5.37	name-based
bnl6.16	p-bnl6.16	name-based
bnl6.16	p-bnl6.16	name-based
EMBL4-I17b	p-EMBL4-I17b	name-based
EMBL4-I17b	p-EMBL4-I17b	name-based
rz244	p-rz244	name-based
rz244	p-rz244	name-based
rz444	p-rz444	name-based
rz444	p-rz444	name-based
rz538	p-rz538	name-based
CL2322_1_ov	CL2322_1_ov	name-based
CL2322_1_ov	CL2322_1_ov	name-based
MCS1a	p-MCS1a	name-based
MCS1b	p-MCS1b	name-based
umc1207	p-umc1207	name-based
csu56	p-csu56	name-based
5C02H07	p-5C02H07	name-based
6C02D08	p-6C02D08	name-based
5C02H07	p-5C02H07	name-based
6C02D08	p-6C02D08	name-based
5C04D12	p-5C04D12	name-based
EMBL4-I20a	p-EMBL4-I20a	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
rz538	p-rz538	name-based
rz630	p-rz630	name-based
rz630	p-rz630	name-based
rz995	p-rz995	name-based
rz995	p-rz995	name-based
2C01F04	p-2C01F04	name-based
ucsd61	p-ucsd61	name-based
ucsd61 b	p-ucsd61 b	name-based
ucsd72	p-ucsd72	name-based
pcPOG1	p-pcPOG1	name-based
umc102	p-umc102	name-based
umc102	p-umc102	name-based
umc32	p-umc32	name-based
umc32	p-umc32	name-based
umc63	p-umc63	name-based
csu36	p-csu36	name-based
csu328	p-csu328	name-based
MCS1a	p-MCS1a	name-based
MCS1b	p-MCS1b	name-based
bcd98	p-bcd98	name-based
bcd98	p-bcd98	name-based
5C04E07	p-5C04E07	name-based
5C04E07	p-5C04E07	name-based
5C02D01	p-5C02D01	name-based
2C07F04	p-2C07F04	name-based
5C04D11	p-5C04D11	name-based
5C04D11	p-5C04D11	name-based
5C04F02	p-5C04F02	name-based
5C04F02	p-5C04F02	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
CL1150_2_ov	CL1150_2_ov	name-based
csu262	p-csu262	name-based
csu30	p-csu30	name-based
bcd134	p-bcd134	name-based
bcd134	p-bcd134	name-based
bcd828	p-bcd828	name-based
bcd828	p-bcd828	name-based
pBF266	p-pBF266	name-based
cdo1160	p-cdo1160	name-based
cdo1160	p-cdo1160	name-based
cdo1160	p-cdo1160	name-based
cdo1160	p-cdo1160	name-based
cdo118	p-cdo118	name-based
cdo118	p-cdo118	name-based
cdo344	p-cdo344	name-based
cdo344	p-cdo344	name-based
cdo345	p-cdo345	name-based
cdo345	p-cdo345	name-based
cdo455	p-cdo455	name-based
cdo455	p-cdo455	name-based
cdo459	p-cdo459	name-based
cdo459	p-cdo459	name-based
cdo962	p-cdo962	name-based
cdo962	p-cdo962	name-based
G10F-01	p-G10F-01	name-based
G10F-01	p-G10F-01	name-based
2C01A03	p-2C01A03	name-based
2C01A03	p-2C01A03	name-based
2C01A03	p-2C01A03	name-based
2C01A03	p-2C01A03	name-based
umc161	p-umc161	name-based
umc161	p-umc161	name-based
umc17	p-umc17	name-based
umc17	p-umc17	name-based
EMBL4-I17b	p-EMBL4-I17b	name-based
EMBL4-I17b	p-EMBL4-I17b	name-based
csu32	p-csu32	name-based
csu25	p-csu25	name-based
phi073	p-phi073	name-based
5C05D07	p-5C05D07	name-based
ZmHox2a	p-ZmHox2a	name-based
nc004	p-nc004	name-based
phi021	p-phi021	name-based
nc005	p-nc005	name-based
phi026	p-phi026	name-based
phi079	p-phi079	name-based
umc1088	p-umc1088	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
CL2022_1_ov	CL2022_1_ov	name-based
csu206	p-csu206	name-based
phi072	p-phi072	name-based
ZSS6	p-ZSS6	name-based
pBF266	p-pBF266	name-based
pBF266	p-pBF266	name-based
pBF268	p-pBF268	name-based
2C02H06	p-2C02H06	name-based
2C02H06	p-2C02H06	name-based
2C02H06	p-2C02H06	name-based
2C02H06	p-2C02H06	name-based
2C02H06	p-2C02H06	name-based
2C02H06	p-2C02H06	name-based
2C02H06	p-2C02H06	name-based
2C02H06	p-2C02H06	name-based
2C01C05	p-2C01C05	name-based
2C01C05	p-2C01C05	name-based
2C01C05	p-2C01C05	name-based
2C01B06	p-2C01B06	name-based
2C01B06	p-2C01B06	name-based
2C01B05	p-2C01B05	name-based
2C01B05	p-2C01B05	name-based
2C01B05	p-2C01B05	name-based
2C01B05	p-2C01B05	name-based
2C01B05	p-2C01B05	name-based
2C01B05	p-2C01B05	name-based
2C01B05	p-2C01B05	name-based
2C01B05	p-2C01B05	name-based
2C04G04	p-2C04G04	name-based
2C04G04	p-2C04G04	name-based
2C01B08	p-2C01B08	name-based
2C01B08	p-2C01B08	name-based
2C02D11	p-2C02D11	name-based
2C01E11	p-2C01E11	name-based
umc123	p-umc123	name-based
umc126	p-umc126	name-based
umc126	p-umc126	name-based
umc156	p-umc156	name-based
umc156	p-umc156	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
5C04A03	p-5C04A03	name-based
5C04A03	p-5C04A03	name-based
5C04A03	p-5C04A03	name-based
5C04B10	p-5C04B10	name-based
5C04D12	p-5C04D12	name-based
5C04B07	p-5C04B07	name-based
CL2073_1_ov	CL2073_1_ov	name-based
CL2073_1_ov	CL2073_1_ov	name-based
CL2073_1_ov	CL2073_1_ov	name-based
CL2073_1_ov	CL2073_1_ov	name-based
phi006	p-phi006	name-based
phi019	p-phi019	name-based
phi076	p-phi076	name-based
MEST5-A2	p-MEST5-A2	name-based
MEST5-A2	p-MEST5-A2	name-based
umc1050	p-umc1050	name-based
umc1197	p-umc1197	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
CL2558_1_ov	CL2558_1_ov	name-based
phi092	p-phi092	name-based
phi093	p-phi093	name-based
csu606	p-csu606	name-based
MEST5-A12	p-MEST5-A12	name-based
umc1008	p-umc1008	name-based
umc1008	p-umc1008	name-based
pal	p-pal	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
EMBL4-I5a	p-EMBL4-I5a	name-based
umc1017	p-umc1017	name-based
CL1574_1_ov	CL1574_1_ov	name-based
CL1574_1_ov	CL1574_1_ov	name-based
CL1574_1_ov	CL1574_1_ov	name-based
CL1574_1_ov	CL1574_1_ov	name-based
CL1574_1_ov	CL1574_1_ov	name-based
